missing_in_parquet
78960002
79036164
78886409
79036810
79034377
78929422
78924819
78994580
78892443
79057820
79051294
78831525
78926374
78988202
78875949
78969394
78870965
78857914
78940989
78953407
79045696
78877256
78866507
79067468
79035468
78947662
78857934
78853202
78905686
78888662
78907864
78899799
79041885
78830943
78831456
78825953
78928867
78859750
78841192
78822888
78828142
79040500
78979317
78974072
78883067
