Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
JAM,45,45,0,1,44,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
JOR,172,132,40,0,132,40,0,0.7674418604651163,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
JPN,11822,8583,3239,2812,5771,2429,810,0.726019286076806,0.5365388284678496,0.7763666482606295,0.634548121403588,0.8176839032470944,0.6171406494922838
KAZ,2399,2362,37,1078,1284,26,11,0.9845769070446019,0.9764492753623188,0.98989898989899,0.9831281349749202,0.9995016087313103,0.9993748395641613
KGZ,26,20,6,8,12,6,0,0.7692307692307693,0.5714285714285714,1.0,0.7272727272727273,1.0,1.0
KHM,139,129,10,30,99,10,0,0.9280575539568345,0.75,1.0,0.8571428571428571,0.998776758409786,0.9958585858585858
KIR,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
KNA,5,0,5,0,0,5,0,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
KOR,1436,1166,270,753,413,202,68,0.8119777158774373,0.7884816753926701,0.9171741778319124,0.847972972972973,0.7916144301516097,0.8203864654750725
KWT,410,304,106,0,304,0,106,0.7414634146341463,0.0,0.0,0.0,0.9037984111221449,0.6452483407885671
LAO,103,84,19,8,76,19,0,0.8155339805825242,0.2962962962962963,1.0,0.45714285714285713,0.9881578947368421,0.8416666666666667
LBN,870,810,60,204,606,59,1,0.9310344827586207,0.7756653992395437,0.9951219512195122,0.8717948717948718,0.9834953236750412,0.9289902367223777
LBR,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
LBY,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
LCA,23,21,2,0,21,2,0,0.9130434782608695,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
LTU,268,262,6,0,262,6,0,0.9776119402985075,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
LVA,710,688,22,575,113,22,0,0.9690140845070423,0.9631490787269682,1.0,0.9812286689419796,0.9920386473429952,0.9980333498808306
MAR,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
MDA,1771,1759,12,1333,426,12,0,0.9932241671372106,0.9910780669144982,1.0,0.9955190440627334,0.9992857803491969,0.9997559794458332
MDV,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
MEX,6702,5098,1604,3459,1639,427,1177,0.7606684571769621,0.8901183736489964,0.7461173425366695,0.8117812720018774,0.8680940524386364,0.9256562835037705
MLI,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
MMR,438,337,101,16,321,101,0,0.769406392694064,0.13675213675213677,1.0,0.24060150375939848,0.9585308056872037,0.5920419457445774
MNG,95,70,25,3,67,25,0,0.7368421052631579,0.10714285714285714,1.0,0.1935483870967742,0.8369565217391305,0.13690476190476192
MRT,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
MSR,4,4,0,0,4,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
NER,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
NIC,155,133,22,54,79,22,0,0.8580645161290322,0.7105263157894737,1.0,0.8307692307692308,0.8910891089108911,0.853404808317089
NLD,57,56,1,0,56,1,0,0.9824561403508771,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
NOR,17,17,0,0,17,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
NPL,2639,2237,402,2,2235,402,0,0.8476695718075028,0.0049504950495049506,1.0,0.009852216748768473,0.9393249905195298,0.00927842956828464
OMN,50,44,6,1,43,6,0,0.88,0.14285714285714285,1.0,0.25,1.0,1.0
PAK,1244,1221,23,11,1210,23,0,0.9815112540192926,0.3235294117647059,1.0,0.4888888888888889,0.9995576199955762,0.9528360528360528
PAN,81,77,4,30,47,4,0,0.9506172839506173,0.8823529411764706,1.0,0.9375,1.0,1.0
PER,2,1,1,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,Not defined (single class),Not defined (single class)
PHL,3144,2836,308,1736,1100,152,156,0.9020356234096693,0.9194915254237288,0.9175475687103594,0.9185185185185185,0.9653058278002553,0.9764004994848364
PNG,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
PRK,283,283,0,0,283,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
PRY,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
QAT,259,228,31,0,228,31,0,0.8803088803088803,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ROU,1777,1761,16,1424,337,16,0,0.9909960607765897,0.9888888888888889,1.0,0.994413407821229,0.9959277620396599,0.9988737200854491
RUS,17159,15463,1696,2031,13432,1040,656,0.9011597412436623,0.6613480950830348,0.7558615556382583,0.7054532823897186,0.9454760426458042,0.6982554211016209
SAU,508,493,15,84,409,14,1,0.9704724409448819,0.8571428571428571,0.9882352941176471,0.9180327868852459,0.9950215547211791,0.9754257782917286
SDN,149,143,6,2,141,6,0,0.959731543624161,0.25,1.0,0.4,0.9829931972789114,0.6428571428571428
SLE,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
SLV,26,26,0,3,23,0,0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
SUR,99,97,2,0,97,1,1,0.9797979797979798,0.0,0.0,0.0,0.7857142857142857,0.045454545454545456
SYR,25,24,1,5,19,1,0,0.96,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0
TCA,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
TCD,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
TGO,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
THA,1238,978,260,467,511,256,4,0.789983844911147,0.6459197786998617,0.9915074309978769,0.7822445561139029,0.9556493022972565,0.8888151705592642
TKM,164,159,5,34,125,5,0,0.9695121951219512,0.8717948717948718,1.0,0.9315068493150684,0.9751131221719457,0.8168143212325227
TTO,28,19,9,0,19,9,0,0.6785714285714286,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
TUR,2288,2261,27,669,1592,27,0,0.9881993006993007,0.9612068965517241,1.0,0.9802197802197802,0.999341711052699,0.998256270473403
TWN,3702,957,2745,69,888,2745,0,0.2585089141004862,0.024520255863539446,1.0,0.047866805411030174,0.9169489023723757,0.7567823791338473
TZA,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
UKR,3919,3808,111,898,2910,90,21,0.9716764480734882,0.9089068825910931,0.9771490750816104,0.9417933927635029,0.9963119332607906,0.9861848901908584
URY,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
USA,81784,64936,16848,30361,34575,7545,9303,0.7939939352440575,0.800954993932359,0.765454820492134,0.7828026298826866,0.8988182400612438,0.881973171828794
UZB,1360,1338,22,58,1280,22,0,0.9838235294117647,0.725,1.0,0.8405797101449275,0.9992716775252926,0.9653781238190213
VCT,17,16,1,0,16,1,0,0.9411764705882353,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
VEN,383,381,2,174,207,1,1,0.9947780678851175,0.9942857142857143,0.9942857142857143,0.9942857142857143,0.9998351648351648,0.9998105761641672
VGB,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
VNM,3152,2880,272,2325,555,74,198,0.9137055837563451,0.9691538140892039,0.9215219976218787,0.9447379114181227,0.9665412072210702,0.9903823290482844
YEM,641,641,0,4,637,0,0,1.0,1.0,1.0,1.0,1.0,1.0
