Continent Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
Africa,22704,22655,49,4266,18389,48,1,0.9978417899929528,0.9888734353268428,0.9997656433091164,0.9942897098240299,0.9999941019957386,0.9999750096165899
Antarctica,23,23,0,9,14,0,0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
Asia,31869,31667,202,4125,27542,201,1,0.9936615519784117,0.9535367545076283,0.9997576345128454,0.9761003312825367,0.9999408216915984,0.9996111993644976
Europe,63937,63495,442,12351,51144,431,11,0.9930869449614464,0.9662807072445627,0.9991101763468695,0.9824212535793827,0.9999031385017005,0.9996569124369287
North America,27518,27325,193,5440,21885,193,0,0.9929864088959953,0.9657376176105095,1.0,0.9825702158403323,0.9998783390972115,0.9994276107242583
Oceania,3431,3410,21,1191,2219,19,2,0.9938793354707083,0.984297520661157,0.9983235540653814,0.9912609238451935,0.999716097851108,0.9994549854726337
Other,9457,9417,40,3100,6317,40,0,0.9957703288569314,0.9872611464968153,1.0,0.9935897435897436,0.9999975642801687,0.9999949986786929
South America,7365,7303,62,2333,4970,61,1,0.991581805838425,0.9745196324143692,0.9995715509854327,0.9868866328257191,0.9998888638513198,0.9997928739808243
