Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
FJI,24,24,0,22,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
FLK,3,3,0,0,3,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
FRA,4413,4401,12,2050,2351,5,7,0.9972807613868117,0.9975669099756691,0.9965969859017987,0.9970817120622568,0.9999224149102035,0.9999120276891205
FRO,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GAB,13,13,0,0,13,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GBR,2212,2179,33,1096,1083,19,14,0.9850813743218807,0.9829596412556054,0.9873873873873874,0.9851685393258427,0.9980927388368405,0.9981409251284143
GEO,72,71,1,4,67,0,1,0.9861111111111112,1.0,0.8,0.8888888888888888,1.0,1.0
GHA,92,92,0,0,92,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GIN,137,137,0,0,137,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
GRC,635,634,1,506,128,1,0,0.9984251968503937,0.9980276134122288,1.0,0.9990128331688055,1.0,1.0
GRL,9,8,1,7,1,0,1,0.8888888888888888,1.0,0.875,0.9333333333333333,1.0,1.0
GTM,154,152,2,101,51,2,0,0.987012987012987,0.9805825242718447,1.0,0.9901960784313726,0.9986923220623949,0.9993025465202304
GUY,12,12,0,0,12,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
HND,30,29,1,0,29,1,0,0.9666666666666667,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
HRV,728,723,5,628,95,2,3,0.9931318681318682,0.9968253968253968,0.9952456418383518,0.9960348929421095,0.999738591991112,0.9999598576163162
HTI,97,97,0,7,90,0,0,1.0,1.0,1.0,1.0,1.0,1.0
HUN,439,437,2,230,207,2,0,0.9954441913439636,0.9913793103448276,1.0,0.9956709956709957,0.9997919700436864,0.9998111206032612
IDN,11406,11405,1,8974,2431,1,0,0.9999123268455199,0.9998885793871867,1.0,0.9999442865897822,0.9999992668879687,0.9999998011871374
IND,1556,1544,12,580,964,10,2,0.9922879177377892,0.9830508474576272,0.9965635738831615,0.9897610921501706,0.9996824657592243,0.9994684411492355
IRL,279,269,10,166,103,1,9,0.96415770609319,0.9940119760479041,0.9485714285714286,0.9707602339181286,0.9976923076923078,0.998696645246469
IRN,5425,5422,3,5285,137,2,1,0.9994470046082949,0.9996217136372234,0.9998108210367007,0.9997162583940226,0.9999877510023762,0.9999996779491528
IRQ,54,53,1,17,36,1,0,0.9814814814814815,0.9444444444444444,1.0,0.9714285714285714,1.0,1.0
ISL,22,22,0,5,17,0,0,1.0,1.0,1.0,1.0,1.0,1.0
ISR,280,277,3,76,201,2,1,0.9892857142857143,0.9743589743589743,0.987012987012987,0.9806451612903225,0.9994242210990979,0.9984925571330251
ITA,7098,7071,27,5730,1341,18,9,0.996196111580727,0.9968684759916493,0.9984317825405122,0.9976495168451293,0.9998771684795855,0.9999708298579681
JAM,9,9,0,1,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0
JOR,39,39,0,0,39,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
JPN,2800,2787,13,1190,1597,4,9,0.9953571428571428,0.9966499162479062,0.9924937447873228,0.9945674885081488,0.9996645132655311,0.999610847379862
KAZ,657,657,0,326,331,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999
KEN,254,254,0,21,233,0,0,1.0,1.0,1.0,1.0,1.0,1.0
KGZ,4,4,0,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
KHM,36,36,0,6,30,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
KIR,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
KOR,361,356,5,266,90,5,0,0.9861495844875346,0.981549815498155,1.0,0.9906890130353817,0.9990502572220024,0.9996586591452279
KWT,118,118,0,41,77,0,0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
LAO,29,28,1,3,25,0,1,0.9655172413793104,1.0,0.75,0.8571428571428571,1.0,1.0
LBN,115,114,1,69,45,0,1,0.991304347826087,1.0,0.9857142857142858,0.9928057553956835,1.0,1.0
LBR,49,49,0,0,49,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
LBY,37,37,0,0,37,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
LCA,2,2,0,0,2,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
LIE,36,36,0,1,35,0,0,1.0,1.0,1.0,1.0,1.0,1.0
LKA,142,140,2,61,79,0,2,0.9859154929577465,1.0,0.9682539682539683,0.9838709677419355,0.9991963029937713,0.9990523572613125
LSO,204,204,0,6,198,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
LTU,125,125,0,0,125,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
LUX,29,29,0,10,19,0,0,1.0,1.0,1.0,1.0,1.0,1.0
LVA,526,523,3,467,56,2,1,0.9942965779467681,0.9957356076759062,0.9978632478632479,0.9967982924226254,0.9986000589448865,0.9998303959258357
MAR,165,165,0,0,165,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
MDA,479,476,3,422,54,1,2,0.9937369519832986,0.9976359338061466,0.9952830188679245,0.9964580873671782,0.9998284734133791,0.9999778673309194
MDG,40,40,0,0,40,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
MDV,2,2,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
MEX,1854,1850,4,1479,371,4,0,0.9978425026968716,0.9973027646662171,1.0,0.9986495611073599,0.9992174892945684,0.9997910188442805
MKD,31,31,0,29,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
MLI,471,470,1,183,287,1,0,0.9978768577494692,0.9945652173913043,1.0,0.997275204359673,0.9999241044323012,0.9998803919427759
MLT,47,47,0,47,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
MMR,124,122,2,1,121,1,1,0.9838709677419355,0.5,0.5,0.5,0.9918032786885246,0.75
MNE,7,5,2,5,0,0,2,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,Not defined (single class),Not defined (single class)
